term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;fr_FR;fr_FR_description
Training data;;no;yes;no;;Training data;;Données d'entraînement;
Trend;;no;yes;no;;Trend;;Tendance;
True;;no;yes;no;;True;;Vrai;
Trust;;no;yes;no;;Trust;;Confiance;
Try again;;no;yes;no;;Try again;;Réessayer;
Type part of a name;;no;yes;no;;Type part of a name;;Saisissez une partie d'un nom;
Type weight;;no;yes;no;;Type weight;;Type de pondération;
Type your message here;;no;yes;no;;Type your message here;;Saisissez votre message ici;
Unavailable;;no;yes;no;;Unavailable;;Indisponible;
Unclear;;no;yes;no;;Unclear;;Ambigu;
Under review;;no;yes;no;;Under review;;En cours de validation;
Unexpected error;;no;yes;no;;Unexpected error;;Erreur inattendue;
Unhelpful;;no;yes;no;;Unhelpful;;Inutile;
Unique logins;;no;yes;no;;Unique logins;;Connexions uniques;
Unit;;no;yes;no;;Unit;;Unité;
Unrated;;no;yes;no;;Unrated;;Non noté;
Unrelease;;no;yes;no;;Unrelease;;Retirer;
Unreleased;;no;yes;no;;Unreleased;;Mise à disposition annulée;
Unsaved changes;;no;yes;no;;Unsaved changes;;Modifications non enregistrées;
Unselect all;;no;yes;no;;Unselect all;;Désélectionner tout;
Upcoming;;no;yes;no;;Upcoming;;À venir;
Upcoming check-ins;;no;yes;no;;Upcoming check-ins;;Check-ins à venir;
Update;;no;yes;no;;Update;;Mettre à jour;
Updated;;no;yes;no;;Updated;;Mis à jour;
Updated by;;no;yes;no;;Updated by;;Mis à jour par;
Upload;;no;yes;no;;Upload;;Charger;
Upload behavior;;no;yes;no;;Upload behavior;;Comportement de téléchargement;
Upload file;;no;yes;no;;Upload file;;Charger un fichier;
Upload the completed file;;no;yes;no;;Upload the completed file;;Télécharger le fichier complété;
Upload the modified Excel file;;no;yes;no;;Upload the modified Excel file;;Chargez le fichier Excel modifié;
Uploaded by;;no;yes;no;;Uploaded by;;Téléchargé par;
Uploaded files;;no;yes;no;;Uploaded files;;Fichiers chargés;
Uploading;;no;yes;no;;Uploading;;Téléversement;
Usage;;no;yes;no;;Usage;;Utilisation;
Usage details;;no;yes;no;;Usage details;;Détails d'utilisation;
Used;;no;yes;no;;Used;;Utilisé;
Used in;;no;yes;no;;Used in;;Utilisé dans;
Useful information;;no;yes;no;;Useful information;;Informations utiles;
User;;no;yes;no;;User;;Utilisateur;
User Security;;no;yes;no;;User Security;;Sécurité utilisateur;
User local time;;no;yes;no;;User local time;;Heure locale de l'utilisateur;
Username;;no;yes;no;;Username;;Nom d'utilisateur;
Users;;no;yes;no;;Users;;Utilisateurs;
Users who sent feedback;;no;yes;no;;Users who sent feedback;;Utilisateurs ayant envoyé du feedback;
Users with no goals;;no;yes;no;;Users with no goals;;Utilisateurs sans objectifs;
Validate;;no;yes;no;;Validate;;Valider;
Value;;no;yes;no;;Value;;Valeur;
Values;;no;yes;no;;Values;;Valeurs;
View;;no;yes;no;;View;;Vue;
View all;;no;yes;no;;View all;;Afficher tout;
View my received feedback;;no;yes;no;;View my received feedback;;Consulter les feedbacks reçus;
View review;;no;yes;no;;View review;;Afficher le bilan;
Visibility;;no;yes;no;;Visibility;;Visibilité;
Weight;;no;yes;no;;Weight;;Pondération;
Weighted score;;no;yes;no;;Weighted score;;Score pondéré;
Widget settings;;no;yes;no;;Widget settings;;Paramètres des widgets;
Work country;;no;yes;no;;Work country;;Pays de travail;
Worker;;no;yes;no;;Worker;;Employé(e);
Worker & manager;;no;yes;no;;Worker & manager;;Employé(e) & manager;
Worker ID;;no;yes;no;;Worker ID;;ID de l'employé(e);
Worker category;;no;yes;no;;Worker category;;Catégorie d'employé(e);
Worker details;;no;yes;no;;Worker details;;Détails de l'employé(e);
Worker name;;no;yes;no;;Worker name;;Nom de l'employé(e);
Worker self-assessment;;no;yes;no;;Worker self-assessment;;Auto-évaluation de l'employé(e);
Worker sign-off;;no;yes;no;;Worker sign-off;;Validation de l'employé(e);
Worker submission;;no;yes;no;;Worker submission;;Soumission de l'employé(e);
Workers;;no;yes;no;;Workers;;Employé(e)s;
Workflow section;;no;yes;no;;Workflow section;;Section de workflow;
Workflow status;;no;yes;no;;Workflow status;;Statut du workflow;
Workflow step;;no;yes;no;;Workflow step;;Étape du workflow;
Workflow steps;;no;yes;no;;Workflow steps;;Étapes du flux de travail;
Workflow type;;no;yes;no;;Workflow type;;Type de workflow;
Write;;no;yes;no;;Write;;Écrire;
Year;;no;yes;no;;Year;;Année;
Years;;no;yes;no;;Years;;Années;
Your comment;;no;yes;no;;Your comment;;Votre commentaire;
Your documents;;no;yes;no;;Your documents;;Vos documents;
Your email;;no;yes;no;;Your email;;Votre email;
Your observations;;no;yes;no;;Your observations;;Vos observations;
Your view;;no;yes;no;;Your view;;Votre vue;
