term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;fr_FR;fr_FR_description
Deadline status;;no;yes;no;;Deadline status;;Statut de la date limite;
Decimal;;no;yes;no;;Decimal;;Décimal;
Decimal precision;;no;yes;no;;Decimal precision;;Précision décimale;
Default;;no;yes;no;;Default;;Par défaut;
Default beqom logo;;no;yes;no;;Default beqom logo;;Logo beqom par défaut;
Default value;;no;yes;no;;Default value;;Valeur par défaut;
Delete;;no;yes;no;;Delete;;Supprimer;
Delete all;;no;yes;no;;Delete all;;Supprimer tout;
Delete comment;;no;yes;no;;Delete comment;;Supprimer le commentaire;
Delete goal;;no;yes;no;;Delete goal;;Supprimer l'objectif;
Delete note;;no;yes;no;;Delete note;;Supprimer la note;
Delete rule;;no;yes;no;;Delete rule;;Supprimer la règle;
Delete selected;;no;yes;no;;Delete selected;;Supprimer la sélection;
Deleted;;no;yes;no;;Deleted;;Supprimé;
Deleted by;;no;yes;no;;Deleted by;;Supprimé par;
Deletion;;no;yes;no;;Deletion;;Suppression;
Deliverable;;no;yes;no;;Deliverable;;Livrable;
Deliverables;;no;yes;no;;Deliverables;;Livrables;
Demographic;;no;yes;no;;Demographic;;Démographique;
Demographics;;no;yes;no;;Demographics;;Paramètres démographiques;
Department;;no;yes;no;;Department;;Service;
Desktop;;no;yes;no;;Desktop;;Bureau;
Details;;no;yes;no;;Details;;Détails;
Development;;no;yes;no;;Development;;Développement;
Development plans;;no;yes;no;;Development plans;;Plans de développement;
Digital reward statement;;no;yes;no;;Digital reward statement;;Relevé de rémunération numérique;
Direct Reports;;no;yes;no;;Direct Reports;;Subordonnés directs;
Direct report;;no;yes;no;;Direct report;;Subordonné direct;
Direct reports;;no;yes;no;;Direct reports;;Subordonnés directs;
Disable;;no;yes;no;;Disable;;Désactiver;
Disabled;;no;yes;no;;Disabled;;Désactivé;
Discard;;no;yes;no;;Discard;;Supprimer;
Discussion outcome;;no;yes;no;;Discussion outcome;;Résultat de la discussion;
Discussion point;;no;yes;no;;Discussion point;;Point de discussion;
Discussion points;;no;yes;no;;Discussion points;;Points de discussion;
Display name;;no;yes;no;;Display name;;Nom affiché;
Distribution guidelines;;no;yes;no;;Distribution guidelines;;Recommandations de distribution;
Document Settings;;no;yes;no;;Document Settings;;Paramètres du document;
