term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;en-GB;en-GB_description
Upload behavior;;no;yes;no;;Upload behavior;;Upload behavior;
Upload file;;no;yes;no;;Upload file;;Upload file;
Upload the completed file;;no;yes;no;;Upload the completed file;;Upload the completed file;
Upload the modified Excel file;;no;yes;no;;Upload the modified Excel file;;Upload the modified Excel file;
Uploaded by;;no;yes;no;;Uploaded by;;Uploaded by;
Uploaded files;;no;yes;no;;Uploaded files;;Uploaded files;
Uploading;;no;yes;no;;Uploading;;Uploading;
Usage;;no;yes;no;;Usage;;Usage;
Usage details;;no;yes;no;;Usage details;;Usage details;
Used;;no;yes;no;;Used;;Used;
Used in;;no;yes;no;;Used in;;Used in;
Useful information;;no;yes;no;;Useful information;;Useful information;
User;;no;yes;no;;User;;User;
User Security;;no;yes;no;;User Security;;User Security;
User local time;;no;yes;no;;User local time;;User local time;
Username;;no;yes;no;;Username;;Username;
Users;;no;yes;no;;Users;;Users;
Users who sent feedback;;no;yes;no;;Users who sent feedback;;Users who sent feedback;
Users with no goals;;no;yes;no;;Users with no goals;;Users with no goals;
Validate;;no;yes;no;;Validate;;Validate;
Validation;;no;yes;no;;Validation;;Validation;
Value;;no;yes;no;;Value;;Value;
Value type;;no;yes;no;;Value type;;Value type;
Values;;no;yes;no;;Values;;Values;
Version;;no;yes;no;;Version;;Version;
View;;no;yes;no;;View;;View;
View all;;no;yes;no;;View all;;View all;
View my received feedback;;no;yes;no;;View my received feedback;;View my received feedback;
View review;;no;yes;no;;View review;;View review;
Visibility;;no;yes;no;;Visibility;;Visibility;
Weight;;no;yes;no;;Weight;;Weight;
Weighted score;;no;yes;no;;Weighted score;;Weighted score;
Widget settings;;no;yes;no;;Widget settings;;Widget settings;
Work country;;no;yes;no;;Work country;;Work country;
Workbench;;no;yes;no;;Workbench;;Workbench;
Worker;;no;yes;no;;Worker;;Worker;
Worker & manager;;no;yes;no;;Worker & manager;;Worker & manager;
Worker ID;;no;yes;no;;Worker ID;;Worker ID;
Worker category;;no;yes;no;;Worker category;;Worker category;
Worker details;;no;yes;no;;Worker details;;Worker details;
Worker name;;no;yes;no;;Worker name;;Worker name;
Worker self-assessment;;no;yes;no;;Worker self-assessment;;Worker self-assessment;
Worker sign-off;;no;yes;no;;Worker sign-off;;Worker sign-off;
Worker submission;;no;yes;no;;Worker submission;;Worker submission;
Workers;;no;yes;no;;Workers;;Workers;
Workflow;;no;yes;no;;Workflow;;Workflow;
Workflow section;;no;yes;no;;Workflow section;;Workflow section;
Workflow status;;no;yes;no;;Workflow status;;Workflow status;
Workflow step;;no;yes;no;;Workflow step;;Workflow step;
Workflow steps;;no;yes;no;;Workflow steps;;Workflow steps;
Workflow type;;no;yes;no;;Workflow type;;Workflow type;
Write;;no;yes;no;;Write;;Write;
Year;;no;yes;no;;Year;;Year;
Years;;no;yes;no;;Years;;Years;
Your comment;;no;yes;no;;Your comment;;Your comment;
Your documents;;no;yes;no;;Your documents;;Your documents;
Your email;;no;yes;no;;Your email;;Your email;
Your observations;;no;yes;no;;Your observations;;Your observations;
Your view;;no;yes;no;;Your view;;Your view;
